HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD039349	provisional	Pannonia superior	Hungary		Bakonycsernye	{Inotapuszta}	206 AD	AE 2002, 1182.  RMD 303.  PIR (2. Aufl.) N 238.  PIR (2. Aufl.) F 541.  Z. Visy, in: A Vaday (Hrsg.), Pannonia and beyond. Studies in honour of László Barkóczi (Budapest 1999) 575-584; Taf. 1-8. - AE 2002.	Imp(erator) Caes(ar) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) fil(ius) divi / Commodi frater divi Antonini Pii nep(os) divi Hadriani / pronep(os) divi Traiani Parthici abnep(os) divi Nervae adnepos L(ucius) Septimius Severus Pius / Pertinax Aug(ustus) Arab(icus) Adiab(enicus) Parthic(us) max(imus) pontif(ex) / max(imus) trib(nicia) pot(estate) XIIII imp(erator) XIII co(n)s(ul) III p(ater) p(atriae) proco(n)s(ul) et / Imp(erator) Caes(ar) L(uci) Septimi Sever[i P]ii Pertinacis Aug(usti) Arab(ici) / Adiab(enici) Parthic(i) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) / Sarm(atici) nep(os) divi Antonini Pii pronep(os) divi Hadriani / abnep(os) divi Traiani Parthic(i) et divi Nervae adnepos / M(arcus) Aurellius(!) Antoninus Pius Aug(ustus) trib(unicia) pot(estate) VIIII co(n)s(ul) II proc(onsul) / nomina militum qui militaverunt in cohortib(us) prae/tori(i)s decem I II III IIII V VI VII VIII VIIII X piis / vindicibus qui pie et fortiter militia functi sunt / ius tribuimus conubi dumtaxat singulis et pri/mis uxoribus ut etiamsi peregrini iuris feminas / in matrimonio suo iunxerint proinde libe/ros tollant ac si ex duobus civibus Romanis / natos a(nte) d(iem) VIII Kal(endas) Mar(tias) / M(arco) Nummio Albino et / L(ucio) Fulvio Aemiliano co(n)s(ulibus) / coh(ortis) X pr(aetoriae) p(iae) v(indicis) / C(aio) Iulio C(ai) fil(io) Ael(ia) Passari / Mogionibus / descript(um) et recognit(um) ex tabul(a) aer(ea) qu(a)e fix(a) est / Rom(a)e in muro post templ(um) divi Aug(usti) ad Minervam // M(arci) Aureli Aquilini / C(ai) Valeri Marcellini / L(uci) Corneli Augurini / C(ai) Fabi Septimini / M(arci) Aureli Firmini / L(uci) Tertini Vitali(s) / C(ai) Valeri Vitalis	14	https://godot.date/id/cdNGV8FpogQXBrUe4EBgzB
HD039382	checked with drawing	Pannonia superior	Hungary	Brigetio	Komárom	Szőny, {Széchenyi utca 3}	195 AD	AE 2009, 1047.  CIL 03, 11016.  RIU 0502.  Z. Mráv, in: P. Kovács - A. Szabó (Hrsg.), Studia Epigraphica Pannonica (SEP 2) (Budapest 2010), 192-198; kép. 2 u. 3 (Zeichnungen). - AE 2009.	[Imp(erator) Caes(ar) L(ucius) Sept(imius) Severus Pius Pertinax Aug(ustus)] / [Parthicus Arabicus Par]thic[us Adiabenicus] / [pontif(ex) maximus trib(unicia) potest(ate) III im]p(erator) VII c[o(n)s(ul) II pater patriae] / [&	3	https://godot.date/id/2rhBeUsYWoivTxG6TvoxXe
HD039393	provisional	Germania superior	Germany		Neckarburken		134 AD	CIL 13, 06495.  CIL 16, 00080.	Imp(erator) Caesar divi Traiani Parthici f(ilius) d[ivi Nervae nepos] / Traianus Hadrianus Aug(ustus) pon[tif(ex) max(imus) trib(unicia)] / pot(estate) XVIII co(n)s(ul) III [p(ater) p(atriae)] / equ(itibus) et ped(itibus) qui mil(itaverunt) in al(a) I et coh(ortibus) [XV quae appell(antur) Indian(a)] / Gall(orum) et I Fla(via) Dam(ascenorum) |(miliaria) et I Lig(urum) et H[i]sp(anorum) [et I c(ivium) R(omanorum) et I Aquit(anorum) vet(erana)] / et I Germ(anorum) et I Bit(urigum) et I Ast(urum) et II [A]ug(usta) C[yr(enaica) et II Raet(orum) et III] / Aquit(anorum) et III Dalm(atarum) et IIII Aqu(itanorum) et IIII [Vind(elicorum) et V Dalm(atarum)] / et VII <Ra=M>et(orum)#<Ra>et(orum)#MET et sunt in Germ(ania) sup(eriore) [sub Claudio] / Quartino quinq(ue) et vig(inti) sti[pend(iis) emerit(is) dimis(sis) hon(esta)] / miss(ione) quor(um) nom(ina) subs[c]r(ipta) sun[t ipsis liberis posterisque] / <e=S>or(um)#<e>or(um)#SOR civ(itatem) ded(it) et con(ubium) cum ux(oribus) qua[s tunc habuissent] / cum est civ(itas) iis dat(a) aut siq(ui) cae[l(ibes) ess(ent) cum iis] / quas post(ea) dux(issent) dumtax(at) sing[uli singulas] // Imp(erator) Caesar divi Traiani Parthici f(ilius) divi / Nervae nepos Traianus Hadrianus Aug(ustus) / pont(ifex) max(imus) trib(unicia) potest(ate) XVIII co(n)s(ul) III p(ater) p(atriae) / equitib(us) et peditib(us) qui militaver(unt) in ala I et / coh(ortibus) XV quae appell(antur) Indian(a) Gallor(um) et I Flav(ia) / Dam(ascenorum) |(miliaria) e[t I] German(orum) et I Lig(urum) et Hisp(anorum) et I c(ivium) R(omanorum) et I / Aquit(anorum) [vete]r(ana) et I Bitur(igum) et I Astur(um) et II Aug(usta) Cyr(enaica) / et II Raet(orum) et III Aquit(anorum) et III Dalm(atarum) et IIII Aqu(itanorum) / et IIII Vind(elicorum) et V Dalm(atarum) et VII Raetor(um) et sunt in / German(ia) super(iore) sub Claudio Quartino quin/que et vigint(i) stipend(iis) emerit(is) dimiss(is) ho/nest(a) miss(ione) quorum nomin(a) subscript(a) / sunt ipsis liberis posterisq(ue) eorum civitat(em) / dedit et conub(ium) cum uxorib(us) quas tunc ha/buissent cum est civ(itas) iis dat(a) aut siq(ui) cae[l(ibes) ess(ent) cum iis] / quas post(ea) dux(issent) dumtax(at) sing[uli singulas] // [a(nte) d(iem) XVII K(alendas) Nov(embres)] / P(ublio) Licinio Pansa L(ucio) [Att]io Macro(ne) co(n)s(ulibus) / [descriptum et recognitum &	18	https://godot.date/id/vCK8TA9bcWLBm7psgpdznM
HD039394	checked with photo	Raetia	Italy		Partschins / Parcines	{Rabland / Rablà}	46 AD	CIL 05, 08003.  CIL 17, 04, 00001; Fig. α u. β; Fig. γ (Zeichnung).  IBR 465; tab. 64, 465.	Ti(berius) Claudius Caesar / Augustus German(icus) / pont(ifex) max(imus) trib(unicia) pot(estate) VI / co(n)s(ul) desig(natus) IIII imp(erator) XI p(ater) p(atriae) / [vi]am Claudiam Augustam / quam Drusus pater Alpibus / bello patefactis derexserat(!) / munit a flumine Pado at(!) / flumen Danuvium per / m(ilia) p(assuum) CC[­­­]	6	https://godot.date/id/aHXHhx2AWzMRCV8DrfeEZG
HD039398	checked with photo	Raetia	Italy		Freienfeld / Campo di Trens		201 AD	CIL 17, 04, 00007; Fig. α; Fig. β (Zeichnung).  IBR 462; tab. 63, 462.	Imp(erator) Caes(ar) / L(ucius) Septimius Seve/rus Pius [Pe]rtinax Aug(ustus) / Arab(icus) Adiab(enicus) Part(hicus) max(imus) trib(unicia) / pot(estate) VIIII imp(erator) [XII] co(n)s(ul) II p(ater) p(atriae) pro[co(n)s(ul)] / <et> <Imp>(erator) <Caes>(ar) <M>(arcus) <Aurelius> / <Antoninus> <Pius> <Aug>(ustus) <trib>(unicia) / <pot>(estate) <IIII> <pro>(consul) <et> / <P>(ublius) <Sept>(imius) <Geta> <nob>(ilissimus) <Caes>(ar) / <vias> <et> <pontes> <rest>(ituerunt) / <ab> <Aug>(usta) <m>(ilia) <p>(assuum) <--->	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039448	checked with photo	Raetia	Austria		Innsbruck - Matrei/Brenner, zwischen?		201 AD	CIL 17, 04, 00013; Fig. α u. β; Fig. γ.  CIL 03, 05982 add. p. 1863.  IBR 457; tab. 63, 457.	Imp(eratori) / Caesar(i) L(ucio) Septi(mio) Sever/o Pio Pertinaci Aug(usto) / Arabico Adiab(enico) Par/t(h)ico maximo pon/tif(ici) maximo trib(unicia) po/t(estate) VIIII imp(eratori) XII co(n)s(uli) II / p(atri) p(atriae) pro co(n)s(ule) et Imp(eratori) Caes/ari Marc(o) Aurel(io) Anto/nino Aug(usto) trib(unicia) po[t(estate)] IIII pr/o co(n)s(ule) et [[[P(ublio) Sept(imio) Getae nob(ilissimo)]]] / [[[Caesar]i]] ab Aug(usta) mil(ia) p(assuum) / CXVI	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039455	checked with photo	Raetia	Austria	Veldidena	Innsbruck	{Wilten}	201 AD	CIL 03, 05981.  CIL 03, 11979.  CIL 17, 04, 00016; Fig. α u. β; Fig. γ (Zeichnung).  IBR 454; tab. 62, 454.	[Imp(erator) Caesar] / [L(ucius) Septimi]us / [Severus] Piu[s] / [Pertinax Aug(ustus)] / Arab(icus) Ad[iab(enicus)] Par[th(icus)] / max(imus) pont(ifex) max(imus) / [t]rib(unicia) pot(estate) VIIII imp(erator) XII / co(n)s(ul) II p(ater) p(atriae) proco(n)s(ul) et / Imp(erator) Caes(ar) M(arcus) Au/relius Antoninus / Pius Aug(ustus) trib(unicia) pot(estate) IIII / pro co(n)s(ule) [[[et P(ublius) Sept(imius) Geta nob(ilissimus)]]] / [[Ca[es]a[r]]] <vias> <et> <pont>[es] / <rest>(ituerunt) ab Aug(usta) [m(ilia) p(assuum)] / CX	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039471	checked with photo	Raetia	Germany	Cambodunum, bei	Kempten, bei		201 AD	CIL 03, 05992.  CIL 17, 04, 00038; Fig. α; Fig. β (Zeichnung).  IBR 471; tab. 65, 471.	[Imp(erator) Caesar] / L(ucius) Septimius Severus Pius / Pertinax Aug(ustus) Arabic(us) / Adiab(enicus) Parthicus maximus / po[n]tif(ex) max(imus) trib(unicia) pot(estate) VIIII / im[p(erator)] XII co(n)s(ul) II p(ater) p(atriae) proco(n)s(ul) et / Imp(erator) [C]aesar Marcus Aure(lius) / Antoninus Pius Aug(ustus) trib(unicia) / pot(estate) IIII pro co(n)s(ule) [[et]] / [[P(ublius) Septimius Geta n[o]b(ilissimus) C(aesar)]] / vias et pontes rest(ituerunt) / ab Aug(usta) m(ilia) p(assuum) / XXXX	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039475	no image	Raetia	Germany	Rostrum Nemaviae	Türkheim, bei	{Goldberg, spätantike Befestigung}, Nordwestturm, sekundär verwendet	201 AD	CIL 17, 04, 00044.  F. Wagner, BRGK 37/38, 1956/57, 251, Nr. 136.	[Imp(erator) C]aesar / [L(ucius) Septim(ius)] Severus [Piu]s / [Per]tin[ax A]ug(ustus) Ara[bicus] / [Adia]b(enicus) Parthicus max[i]m[us] / [p]o[nti]f(ex) max(imus) trib(unicia) pot(estate) VI[III] / [i]m[p(erator) XII co(n)s(ul)] II p(ater) p(atriae) proco(n)[s(ul) et] / [I]mp (erator) Ca[esar Ma]rcu[s Aurel(ius)] / [An]to[ninus Pius Aug(ustus) trib(unicia)] / [& $] / [---] m(ilia) p(assuum) [---]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039478	checked with photo	Raetia	Germany		Valley, bei	{Hofoldinger Forst; Großhelfendorf, bei}	201 AD	CIL 03, 05991.  CIL 17, 04, 00050; Fig. α; Fig. β (Zeichnung).  IBR 477; tab. 65, 477.	Imp(erator) Caes(ar) L[ucius] / Septimius Severus [Pius] / Pertinax August(us) [Arab(icus)] / Adiab(enicus) Parthicus maxim(us) / pontif(ex) max(imus) trib(unicia) pot(estate) VIIII imp(erator) XII co(n)s(ul) [II p(ater) p(atriae) proco(n)s(ul) et] / Imp(erator) Caes[ar Marcus Aurel(ius)] / Antonin[us Pius Aug(ustus)] / tr[ib(unicia)] pot(estate) IIII pr[oco(n)s(ul) et] / Publ(ius) Septimius [Geta nob(ilissimus) Caesar] / vias et pontes rest(ituerunt) / ab Aug(usta) m(ilia) p(assuum) / LX	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039479	checked with photo	Raetia	Germany		Oberschweinbach	{Günzlhofen?}	201 AD	CIL 03, 05990.  CIL 03, 11982.  CIL 17, 04, 00051; Fig. α; Fig. β (Zeichnung).  IBR 476; tab. 65, 476.	[Imp(erator) Caesar] / [Lucius Septimius Severus Pius] / [Pertinax Aug(ustus) Arabicus] / [Adiab(enicus) Parthicus maximus] / [pont(ifex) max(imus) trib(unicia) pot(estate) VIIII] / imp(erator) XII c[o(n)s(ul) II p(ater) p(atriae) proco(n)s(ul) et] / Imp(erator) Caesar Marc[us A]ure[l(ius)] / Antoninus Pius Aug(ustus) trib(unicia) / pot(estate) IIII pro co(n)s(ule) [[et]] / [[[P(ublius) Septimius Geta no]b[il(issimus)] Caesar]] / vias et pontes rest(ituerunt) / ab Aug(usta) m(ilia) p(assuum) / XXXI	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039490	checked with photo	Raetia	Germany		Marxheim	{Burgmannshofen, Friedhof}	201 AD	CIL 17, 04, 00064; Fig. α; Fig. β (Zeichnung).  CIL 03, 05995 add. p. 1051.  IBR 491; tab. 67, 491.	[I]m[p(erator) Caes(ar) L(ucius)] / [S]eptimius [Severus Pius] / Pertinax Aug(ustus) Arabic(us) / Adiab(enicus) Parthicus maximus / pontif(ex) max(imus) trib(unicia) pot(estate) VIIII / imp(erator) XII co(n)s(ul) II p(ater) p(atriae) proco(n)s(ul) et / Imp(erator) Caesar Marcus Aurel(ius) / Antoninus Pius Aug(ustus) trib(unicia) / pot(estate) IIII proco(n)s(ul) [[et [Publ(ius)]]] / [[[Septim(ius) Geta nob(ilissimus) Caes(ar)]]] / [&	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039491	checked with photo	Raetia	Germany		Bergheim	Attenfeld, Igstetter Hof	201 AD	CIL 03, 05996.  CIL 03, 11985.  CIL 17, 04, 00065; Fig. α; Fig. β (Zeichnung).  IBR 490; tab. 67, 490.	Imp(erator) Caesar / L(ucius) Septim(ius) Severus Pius / Pertinax Aug(ustus) Arab(icus) / Adiab(enicus) Parthicus maximus / pontif(ex) max(imus) trib(unicia) pot(estate) VIIII / imp(erator) XII co(n)s(ul) II p(ater) p(atriae) proco(n)s(ul) et / Imp(erator) Caesar Marcus Aurel(ius) / Antoninus Pius Aug(ustus) trib(unicia) / pot(estate) IIII proco(n)s(ul) et [[[Publ(ius)]]] / [[[Septim(ius) Geta nob(ilissimus) Caes]ar]] / vias et pontes rest(ituerunt) / ab Aug(usta) [m(ilia) p(assuum)] XXXX / [a l(e)g(ione)] m(ilia) p(assuum) LVI	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039505	checked with photo	Raetia	Germany		Nassenfels		201 AD	CIL 17, 04, 00066.  F. Wagner, BRGK 37/38, 1956/57, 252, Nr. 141.	$] / [pontif(ex)] m[ax(imus) trib(unicia) pot(estate) VIIII] / [i]mp(erator) XII co(n)s(ul) II p(ater) p(atriae) pr[oco(n)s(ul) et] / [Imp(erator)] Caesar Marcus [Aurel(ius)] / [A]ntoninus Pius Aug(ustus) [trib(unicia)] / [po]t(estate) IIII proco(n)s(ul) [[et P(ublius)]] / [[[Septim(ius) Geta nob(ilissimus) Caes(ar)]]] / [vias et pontes rest(ituerunt)] / [ab A]ug(usta) m(ilia) p(assuum) [XLI]III / [a l(e)]g(ione) m(ilia) p(assuum) LIII	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039560	checked with photo	Noricum	Germany	Iuvavum, bei	Wonneberg	Egerdach, {S. Margaretha, Kirche}, sekundär verwendet	201 AD	CIL 17, 04, 00096; Fig. α.  PIR (2. Aufl.) I 889.  M. Pietsch - P. Schwenk, AJahrBay 1999, 79-81; Abb. 76; Abb. 77 (Zeichnung). - AE 1999.  AE 1999, 1212.	[Imp(erator) Ca]es(ar) L(ucius) Septi[mius Sev]erus Pius / [Pertin]ax Aug(ustus) Ar[ab(icus) Adiab(enicus) P]arth(icus) max(imus) / [ponti]f(ex) max(imus) tr[ib(unicia) pot(estate) VIIII imp(erator)] XII / [c]o(n)s(ul) p(ater) p(atriae) proco(n)s(ul) [et Imp(erator)] / Caes(ar) M(arcus) Aure[l(ius) Antoninu]s Pi[u]s / [Au]g(ustus) trib(unicia) pot(estate) IIII pro[co(n)s(ul) [[et P(ublius) Septimius Geta]]] / [[[nob(ilissimus) Caes(ar)]] miliar]ia vetus/[t]ate conlapsa res[tituerun]t curante / [M(arco)] Iuventio Suro Pro[culo] {leg(ato)} / [l]eg(ato) pr(o) pr(aetore) a Iuv(avo) / [m(ilia) p(assuum)] XVIII	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039561	checked with photo	Noricum	Germany		Grabenstätt	{Erlstätt}	201 AD	"CIL 17, 04, 00097; fig. α; fig. β (Zeichnung).  CIL 03, 05749.  IBR 480.  W. Hameter, Die norischen Inschriften Bayerns (Diss. Wien 1992) 75-77, Nr. 52; Foto.  PIR (2. Aufl.) I 889.  AE 2005, 1175.  W. Hameter, in: F. Beutler - W. Hameter (Hrsg.), ""Eine ganz normale Inschrift"" ... und ähnliches zum Geburtstag von Ekkehard Weber. Festschrift zum 30. April 2005 (Wien 2005) 285-288. - AE 2005.  A. Obermayr, Römersteine zwischen Inn und Salzach (Freilassing 1974) 59-61. (B)"	[I]m[p(erator) Caes(ar) L(ucius) Septimius] / [Severus Pius Pertinax Aug(ustus)] / [Arab(icus) Parth(icus) max(imus)] / [pontif(ex) max(imus) trib(unicia) pot(estate) VIIII] / [imp(erator) XII co(n)s(ul) II p(ater) p(atriae) proco(n)s(ul)] / [et Imp(erator) Caes(ar) M(arcus) Aurel(ius) Antoninus] / [Pius Aug(ustus) trib(unicia) pot(estate) IIII proco(n)s(ul)] / [et [[P(ublius) Septimius Geta nob(ilissimus) Caes(ar)]]] / [miliaria vetustate conlapsa] / [restituerunt cur]ant[e] / [M(arco) Iu]ventio [S]uro Pr[oculo] / leg(ato) Aug(usti) pr(o) [pr(aetore)] / [ab Iuvavo] m(ilia) p(assuum) X[---]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039567	checked with photo	Noricum	Germany	Iuvavum, bei	Söchtenau	{Pfarrkirche}	201 AD	CIL 17, 04, 00102; fig. α; fig. β (Zeichnung) fig. γ; fig. δ.  CIL 03, 05750.  CIL 03, 11843.  IBR 478; tab. 65, 478.  ILLPRON 1549.  W. Hameter, Die norischen Inschriften Bayerns (Diss. Wien 1992) 55-56, Nr. 38; Foto u . Zeichnung.  AE 2003, 1325.  F. Steffan, AJahrBay 2003, 82-85; Abb. 90 u. 91. - AE 2003.	[Imp(erator)] Caes(ar) L(ucius) Se[ptimius] / Severus Pius Pe[rti]/[n]ax Aug(ustus) Arab(icus) Adiab(enicus) / [Parth(icus)] max(imus) pontif(ex) max(imus) trib(unicia) / [pot(estate)] VIIII imp(erator) XI{I} co(n)s(ul) II p(ater) p(atriae) pro[co(n)s(ul)] / [et] Imp(erator) Caes(ar) M(arcus) Aurell(ius)(!) Anton/[i]nus Pius Aug(ustus) trib(unicia) pot(estate) IIII / proco(n)s(ul) et / [[[P(ublius) Septimius Geta nob(ilissimus) Caes(ar)]] mili]/aria v[etustate conlapsa] / restitu[erunt curante] / M(arco) Iuventio [Suro Proculo] / leg(ato) pr(o) pr(aetore) / m(ilia) p(assuum) [---]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039576	checked with photo	Noricum	Slovenia	Celeia, bei	Celje	{Mariborska cesta 47}	161 AD	CIL 17, 04, 00110; Fig. α; Fig. β (Zeichnung).	Imper[ato]rib(us) C[a]esarib(us) / M(arco) Aurelio Antonino Aug(usto) / trib(unicia) pot(estate) XV co(n)s(uli) III et / L(ucio) Aurelio Vero Aug(usto) trib(unicia) / pot(estate) co(n)s(uli) II / I	15	https://godot.date/id/HMFKzJZUJvpBd8iQN57cFj
HD039586	checked with photo	Noricum	Slovenia	Celeia, bei	Vojnik	{Ivenca}	132 AD	CIL 17, 04, 00121; Fig. α u. β.  CIL 03, 05733.  ILLPRON 1789.	Imp(erator) Caesar divi / Traiani Parthici f(ilius) / divi Nervae nepos / Traianus Hadrianus / Aug(ustus) pontif(ex) max(imus) trib(unicia) / pot(estate) XVI co(n)s(ul) III p(ater) p(atriae) proco(n)s(ul) / VI	16	https://godot.date/id/QuQXrwXwS9Wm22Q6kp5wCm
HD039632	checked with photo	Noricum	Slovenia		Starše	{S. Johannes, Kirche}, sekundär verwendet	131 AD	CIL 03, 05744.  CIL 17, 04, 00138.  ILLPRON 1913.  E. Weber, Die römerzeitlichen Inschriften der Steiermark (Graz 1969) 417-418, Nr. 374.	[Imp(erator) Cae]sar d[i]vi / [Traiani P]arthici f(ilius) divi / [Nervae nepo]s Traianus / [Hadrianus] Aug(ustus) pont(ifex) max(imus) / [trib(unicia) pot(estate) XVI co(n)s(ul) I]II p(ater) p(atriae) proco(n)s(ul) / [&	16	https://godot.date/id/QuQXrwXwS9Wm22Q6kp5wCm
HD039653	no image	Numidia	Algeria	Celtianis	Kherba	Forum, bei	205 AD	ILAlg 2, 2093.  CIL 08, 19693.	Iuliae Aug(ustae) matri / castrorum coniugi Imp(eratoris) / Caes(aris) divi M(arci) Antonini Pii / Germ(anici) Sarm(atici) fili divi Com/modi fratris divi Antonini Pii / nep(otis) divi Hadriani pronep(otis) divi / Traiani Part(hici) abnep(otis) divi Nerv[ae] ad/nep(otis) L(uci) Septimi Severi Pertinacis / Aug(usti) Arab(ici) Adiab(enici) Part(hici) max(imi) pontif(icis) / maximi trib(unicia) pot(estate) XIII imp(eratoris) XI co(n)[s(ulis)] / III proco(n)s(ulis) propag(atoris) imp(erii) fortis/simi felicissimiq(ue) principis / Imp(eratoris) Caes(aris) L(uci) Septimi Severi Pert(inacis) / Aug(usti) Arab(ici) Adiab(enici) Pa[rt(hici)] max(imi) fili / divi Antonini Pii German(ici) / Sar(matici) nepot(is) divi Antonini / Pii pronep(otis) divi Hadriani ab/nep(otis) divi Traiani Parthi/ci et divi Nervae adnep(otis) / M(arci) Aureli Antonini Pii / Felicis Aug(usti) pont(ificis) max(imi) / trib(unicia) potes[t(ate)] VIII{I} co(n)s(ulis) II pro/co(n)s(ulis) fortissimi felicissimiq(ue) pr(incipis) / patr(is) patriae nobilissimi et [su]/[p]er omnes prin(cipes) indulgen[tissi]/[m]o(!) res p(ublica) C(astelli) C(eltianis) d(ecreto) d(ecurionum) [p(ecunia) p(ublica)]	13	https://godot.date/id/E8dKhVZKpHNJSSxRk7P2nF
HD039678	checked with photo	Noricum	Italy	Aguntum, bei	Olang / Valdaora	Oberolang, {Goste}	201 AD	CIL 17, 04, 00165; Fig. α u. β; Fig. γ (Zeichnung).  ILLPRON 1577.	Imp(erator) Caes(ar) / L(ucius) Septimius Severus / Pius Pertinax Aug(ustus) / Arab(icus) Adiab(enicus) Parth(icus) max(imus) / pontif(ex) max(imus) trib(unicia) pot(estate) VIIII / imp(erator) XII co(n)s(ul) II p(ater) p(atriae) proco(n)s(ul) et / Imp(erator) Caes(ar) M(arcus) Aurel(ius) / Antoninus Pius Aug(ustus) / trib(unicia) pot(estate) IIII proco(n)sul / [[[et P(ublius) Septimius Geta]]] / [[[nob(ilissimus) Caes(ar)]]] / miliaria vetustate / conlabsa(!) restitue/runt curante / M(arco) Iuventio Suro / Proculo leg(ato) pr(o) pr(aetore) / ab Ag(unto) m(ilia) p(assuum) / XXXXV	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039699	checked with photo	Noricum	Austria	Teurnia, bei	S. Margarethen/Lungau	{Greinwald}	201 AD	CIL 03, 05714.  CIL 17, 04, 00188; Fig. α; Fig. β u. γ (Zeichnungen).  ILLPRON 1136.  CIL 03, 11834.	Imp(erator) Caes(ar) / L(ucius) Sept(imius) Severus / Pius Pe[rt(inax)] Aug(ustus) Ar/ab(icus) Ad[ia]b(enicus) Par(thicus) max(imus) pont(ifex)(!) / trib(unicia) po[t(estate)] VIIII im(perator) XII / co(n)s(ul) II p(ater) p(atriae) pro / co(n)s(ule) et Imp(erator) Caes(ar) / Ma[r(cus)] Aurelius <Antoninus> / Pius Aug(ustus) trib(unicia) pot(estate) / IIII pro co(n)s(ule) / a T(eurnia) m(ilia) p(assuum) / IIXXX	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039701	checked with photo	Noricum	Austria	Teurnia, bei	S. Margarethen/Lungau	{Greinwald}	201 AD	CIL 17, 04, 00189.  ILLPRON 1142.	[Imp(erator) Caes(ar) L(ucius)] Sept(imius) Sev[erus] / [Pius Pertinax Aug(ustus)] Arab(icus) [Adiab(enicus)] / [Parth(icus) m]ax(imus) ponti[f(ex) max(imus)] / [trib(unicia) pot(estate) VIIII imp(erator) XII co(n)s(ul)] / [p(ater) p(atriae) p]roco(n)s(ul) et / [M(arcus) Aure]lius Anto[ninus] / Pius Aug(ustus) trib(unicia) / [pot(estate) IIII pr]oco(n)s(ul) / [a T(eurnia) m(ilia)] p(assuum) [X]X[---]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039702	checked with photo	Noricum	Austria	Immurium / In Murio	Unternberg	Moosham, {Schloß Moosham}	201 AD	CIL 17, 04, 00192.	[Imp(erator) Caes(ar)] L(ucius) Sept(imius) Severus / [Pius Perti]nax Aug(ustus) Arab(icus) / [Adiab(enicus) Part]hic(us) max(imus) pontif(ex) / [max(imus) trib(unicia) pot(estate) VIIII] imp(erator) XII co(n)s(ul) II p(ater) p(atriae) pro/co(n)s(ul) et / [Imp(erator) Caes(ar) M(arcus) Aur(elius) Antonin]us Pius [Aug(ustus)] / [&	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039705	checked with photo	Noricum	Austria	Teurnia, bei	Tweng		201 AD	CIL 03, 05717 add. p. 1847.  CIL 17, 04, 00197; Fig. α; Fig. β (Zeichnung).  ILLPRON 1143.  PIR (2. Aufl.) I 889.	[Im]p(erator) Caes(ar) [L(ucius) Sept(imius)] / [S]everus Piu[s Pert(inax)] / [A]ug(ustus) Arab(icus) Adia[b(enicus) Parth(icus) max(imus)] / pontif(ex)(!) trib(unicia) pot(estate) [VIIII imp(erator) XII] / c[o(n)]s(ul) II p(ater) p(atriae) proco(n)s(ul) [et] / Imp(erator) Caes(ar) M(arcus) Aurel(ius) Anton[inus] / Pius Aug(ustus) trib(unicia) pot(estate) III[I proco(n)s(ul) et] / [[[P(ublius) Sept(imius) Geta nob(ilissimus) Caes(ar)]]] miliari[a] / [vetu]state conlap[s]a restitu[erunt] / [curan]te M(arco) Iuventio S[u]ro Proc[ulo] / [le]g(ato) pr(o) pr(aetore) a T(eurnia) m(ilia) p(assuum) / XL	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
